bout_id,event_id,promotion,bout_order,bout_datetime_utc,bout_completed,weight_class,winner_fighter_id,fighter_id,opponent_fighter_id,corner,result_score,k_factor,days_since_last_fight,days_since_last_weight_class_fight,pre_overall_elo,post_overall_elo,pre_weight_class_elo,post_weight_class_elo
a6b328733d610e2b,8f6a18831a120817,UFC,2,2022-08-06T00:00:00Z,1,,b997be68943010fc,6d4b63c767106d3a,b997be68943010fc,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
36f38c2534ef646b,8f6a18831a120817,UFC,3,2022-08-06T00:00:00Z,1,,da7f113b5ea39c43,da7f113b5ea39c43,56f7d7ee06be4aab,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
36f38c2534ef646b,8f6a18831a120817,UFC,3,2022-08-06T00:00:00Z,1,,da7f113b5ea39c43,56f7d7ee06be4aab,da7f113b5ea39c43,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
2b11aa4b90b1dd41,8f6a18831a120817,UFC,4,2022-08-06T00:00:00Z,1,,aa0c573da7119292,aa0c573da7119292,4333a8e70a672eb7,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
2b11aa4b90b1dd41,8f6a18831a120817,UFC,4,2022-08-06T00:00:00Z,1,,aa0c573da7119292,4333a8e70a672eb7,aa0c573da7119292,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
044d210d7b1eb519,8f6a18831a120817,UFC,5,2022-08-06T00:00:00Z,1,,e2f6b2769aaedd6c,e2f6b2769aaedd6c,441eacbe20e0e80b,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
044d210d7b1eb519,8f6a18831a120817,UFC,5,2022-08-06T00:00:00Z,1,,e2f6b2769aaedd6c,441eacbe20e0e80b,e2f6b2769aaedd6c,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
b530bb13aac1e48b,8f6a18831a120817,UFC,6,2022-08-06T00:00:00Z,1,,809bd1a871491508,809bd1a871491508,a2ccf35a88346a91,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
b530bb13aac1e48b,8f6a18831a120817,UFC,6,2022-08-06T00:00:00Z,1,,809bd1a871491508,a2ccf35a88346a91,809bd1a871491508,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
eda397c27787afa4,8f6a18831a120817,UFC,7,2022-08-06T00:00:00Z,1,,0d65c432720accb9,0d65c432720accb9,d156513a19acf856,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
eda397c27787afa4,8f6a18831a120817,UFC,7,2022-08-06T00:00:00Z,1,,0d65c432720accb9,d156513a19acf856,0d65c432720accb9,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
4adef20ce69217be,8f6a18831a120817,UFC,8,2022-08-06T00:00:00Z,1,,f626118b6da0e020,f626118b6da0e020,8abac218746e04ca,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
4adef20ce69217be,8f6a18831a120817,UFC,8,2022-08-06T00:00:00Z,1,,f626118b6da0e020,8abac218746e04ca,f626118b6da0e020,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
b5274277ef6707c9,8f6a18831a120817,UFC,9,2022-08-06T00:00:00Z,1,,3351aa64aa83c4d9,3351aa64aa83c4d9,7559395ad833c074,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
b5274277ef6707c9,8f6a18831a120817,UFC,9,2022-08-06T00:00:00Z,1,,3351aa64aa83c4d9,7559395ad833c074,3351aa64aa83c4d9,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
a274ed04c36d40d4,8f6a18831a120817,UFC,10,2022-08-06T00:00:00Z,1,,cc8c623cca88f54f,cc8c623cca88f54f,5e6294b37bbef029,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
a274ed04c36d40d4,8f6a18831a120817,UFC,10,2022-08-06T00:00:00Z,1,,cc8c623cca88f54f,5e6294b37bbef029,cc8c623cca88f54f,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
11cc331fa40ede63,a23e63184c65f5b8,UFC,1,2022-08-13T00:00:00Z,1,,7c7332319c14094c,7c7332319c14094c,10f3ba6cd2f44a97,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
11cc331fa40ede63,a23e63184c65f5b8,UFC,1,2022-08-13T00:00:00Z,1,,7c7332319c14094c,10f3ba6cd2f44a97,7c7332319c14094c,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
efd7efba85092c6f,a23e63184c65f5b8,UFC,2,2022-08-13T00:00:00Z,1,,583ee11abddfc581,583ee11abddfc581,ffe9703408fb5964,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
efd7efba85092c6f,a23e63184c65f5b8,UFC,2,2022-08-13T00:00:00Z,1,,583ee11abddfc581,ffe9703408fb5964,583ee11abddfc581,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
833d67f423315d18,a23e63184c65f5b8,UFC,3,2022-08-13T00:00:00Z,1,,40cb680ae1cd331f,40cb680ae1cd331f,abcf2cc6efc42031,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
833d67f423315d18,a23e63184c65f5b8,UFC,3,2022-08-13T00:00:00Z,1,,40cb680ae1cd331f,abcf2cc6efc42031,40cb680ae1cd331f,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
d19e010f071a4b45,a23e63184c65f5b8,UFC,4,2022-08-13T00:00:00Z,1,,e90a2f22417af68e,e90a2f22417af68e,cc7040fe76f0ef91,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
d19e010f071a4b45,a23e63184c65f5b8,UFC,4,2022-08-13T00:00:00Z,1,,e90a2f22417af68e,cc7040fe76f0ef91,e90a2f22417af68e,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
abd50fad1e7b030b,a23e63184c65f5b8,UFC,5,2022-08-13T00:00:00Z,1,,b1e5bcaad32a3cac,b1e5bcaad32a3cac,6551c64fbcd1a467,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
abd50fad1e7b030b,a23e63184c65f5b8,UFC,5,2022-08-13T00:00:00Z,1,,b1e5bcaad32a3cac,6551c64fbcd1a467,b1e5bcaad32a3cac,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
38b6ef176439c39b,a23e63184c65f5b8,UFC,6,2022-08-13T00:00:00Z,1,,6ac9bc2953c47345,6ac9bc2953c47345,12ebd7d157e91701,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
38b6ef176439c39b,a23e63184c65f5b8,UFC,6,2022-08-13T00:00:00Z,1,,6ac9bc2953c47345,12ebd7d157e91701,6ac9bc2953c47345,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
5f31f3e32669f5b9,a23e63184c65f5b8,UFC,7,2022-08-13T00:00:00Z,1,,f0feeb2192937424,f0feeb2192937424,8e5d953bdb9ae5e7,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
